ts_code,trade_date,open,high,low,close,pre_close,change,pct_chg,vol,amount
000001.SZ,20210401,22.08,22.11,21.5,21.78,22.01,-0.23,-1.045,544448.98,1183868.023
000002.SZ,20210401,30.0,30.15,29.57,29.83,30.0,-0.17,-0.5667,525118.18,1565413.902
688488.SH,20210401,17.9,18.45,17.9,18.03,18.18,-0.15,-0.8251,3229.33,5834.928
688536.SH,20210401,357.84,402.0,353.0,400.0,360.8,39.2,10.8647,8139.03,316347.558
688550.SH,20210401,82.23,82.5,81.71,82.06,81.98,0.08,0.0976,1763.88,14461.778
688551.SH,20210401,26.57,26.62,26.09,26.25,26.49,-0.24,-0.906,2276.72,5979.269
688633.SH,20210401,49.7,52.18,49.0,51.07,49.29,1.78,3.6113,25912.77,131681.795
689009.SH,20210401,66.7,66.7,64.18,65.86,66.56,-0.7,-1.0517,11925.6,78475.859
836433.BJ,20210401,6.83,6.83,6.75,6.78,6.81,-0.03,-0.4405,768.0,520.676
836675.BJ,20210401,12.3,12.48,12.0,12.42,12.23,0.19,1.5536,1068.06,1323.072
872808.BJ,20210401,44.7,44.7,44.11,44.11,44.6,-0.49,-1.0987,23.92,106.219
000001.SZ,20210402,21.7,21.73,21.36,21.5,21.78,-0.28,-1.2856,581083.52,1249405.387
000002.SZ,20210402,30.0,30.08,29.65,30.0,29.83,0.17,0.5699,381349.62,1140366.058
688488.SH,20210402,18.03,18.38,17.98,18.32,18.03,0.29,1.6084,6648.89,12120.495
688536.SH,20210402,405.0,448.0,402.03,426.5,400.0,26.5,6.625,9479.99,407481.465
688550.SH,20210402,81.31,85.36,81.31,84.0,82.06,1.94,2.3641,5083.52,42687.392
688551.SH,20210402,26.5,26.61,26.06,26.46,26.25,0.21,0.8,3167.57,8365.554
688633.SH,20210402,51.2,56.5,50.18,56.23,51.07,5.16,10.1038,47137.12,256446.908
689009.SH,20210402,66.86,71.45,66.86,71.07,65.86,5.21,7.9107,25845.6,179290.733
836433.BJ,20210402,6.78,6.8,6.75,6.8,6.78,0.02,0.295,591.05,400.101
836675.BJ,20210402,12.5,12.99,12.33,12.96,12.42,0.54,4.3478,1631.07,2094.639
872808.BJ,20210402,44.41,44.42,44.41,44.42,44.11,0.31,0.7028,3.0,13.325
873169.BJ,20210402,4.01,4.01,4.01,4.01,4.0,0.01,0.25,1.0,0.401
000001.SZ,20210406,21.55,22.09,21.51,21.68,21.5,0.18,0.8372,401102.82,873387.016
000002.SZ,20210406,30.0,30.0,29.22,29.43,30.0,-0.57,-1.9,583845.7,1724509.734
688488.SH,20210406,18.31,18.48,18.27,18.38,18.32,0.06,0.3275,5315.38,9765.386
688536.SH,20210406,427.83,441.97,418.0,429.75,426.5,3.25,0.762,5052.67,217184.872
688550.SH,20210406,85.0,85.05,83.5,84.1,84.0,0.1,0.119,2000.85,16838.363
688551.SH,20210406,26.57,27.75,26.57,27.52,26.46,1.06,4.006,6772.04,18559.344
688633.SH,20210406,56.23,56.79,54.42,56.38,56.23,0.15,0.2668,25512.66,141641.461
689009.SH,20210406,70.9,76.66,70.03,73.14,71.07,2.07,2.9126,20752.18,152420.828
836433.BJ,20210406,6.76,6.85,6.75,6.83,6.8,0.03,0.4412,1062.61,722.341
836675.BJ,20210406,12.9,13.24,12.82,13.21,12.96,0.25,1.929,1604.24,2098.368
872808.BJ,20210406,49.82,49.82,49.82,49.82,44.42,5.4,12.1567,187.92,936.217
000001.SZ,20210407,21.88,21.93,21.31,21.64,21.68,-0.04,-0.1845,517604.59,1116774.452
000002.SZ,20210407,29.5,29.72,29.27,29.7,29.43,0.27,0.9174,488440.53,1441764.754
688488.SH,20210407,18.39,18.52,18.33,18.49,18.38,0.11,0.5985,4631.67,8541.658
688536.SH,20210407,427.13,427.15,408.45,420.03,429.75,-9.72,-2.2618,5317.58,221715.232
688550.SH,20210407,84.17,84.8,83.46,84.8,84.1,0.7,0.8323,2732.73,22966.169
688551.SH,20210407,27.3,27.75,27.16,27.44,27.52,-0.08,-0.2907,4742.45,13002.605
688633.SH,20210407,55.8,58.88,55.0,57.83,56.38,1.45,2.5718,35472.42,203848.322
689009.SH,20210407,72.41,74.96,71.25,73.1,73.14,-0.04,-0.0547,17732.61,130676.857
836433.BJ,20210407,6.88,7.1,6.78,7.05,6.83,0.22,3.2211,2558.54,1780.825
836675.BJ,20210407,13.05,13.17,12.8,13.05,13.21,-0.16,-1.2112,1335.67,1732.023
872808.BJ,20210407,48.77,48.77,48.0,48.0,49.82,-1.82,-3.6532,21.0,102.34
872895.BJ,20210407,3.21,3.21,3.21,3.21,3.0,0.21,7.0,1.0,0.321
873167.BJ,20210407,7.56,7.56,7.56,7.56,,,,50.0,37.8
000001.SZ,20210408,21.46,21.73,21.33,21.56,21.64,-0.08,-0.3697,383029.5,825170.84
000002.SZ,20210408,29.4,29.48,28.98,29.17,29.7,-0.53,-1.7845,630400.64,1836528.786
688488.SH,20210408,18.4,18.58,18.37,18.46,18.49,-0.03,-0.1622,3620.78,6689.864
688536.SH,20210408,416.77,434.5,413.99,421.15,420.03,1.12,0.2666,3391.46,144628.896
688550.SH,20210408,85.2,85.86,84.2,85.01,84.8,0.21,0.2476,3333.01,28369.621
688551.SH,20210408,27.59,27.59,27.27,27.3,27.44,-0.14,-0.5102,3154.39,8635.111
688633.SH,20210408,57.44,58.17,55.55,56.72,57.83,-1.11,-1.9194,26576.36,150229.945
688636.SH,20210408,85.0,119.88,82.01,107.98,34.5,73.48,212.9855,79274.95,753445.238
689009.SH,20210408,73.4,75.97,72.61,73.3,73.1,0.2,0.2736,13607.84,100368.082
836419.BJ,20210408,15.8,15.8,15.8,15.8,15.8,0.0,0.0,1.0,1.58
836433.BJ,20210408,7.06,7.16,7.06,7.12,7.05,0.07,0.9929,2605.44,1857.216
836504.BJ,20210408,6.0,6.0,6.0,6.0,5.87,0.13,2.2147,800.0,480.0
836675.BJ,20210408,12.99,13.13,12.75,12.88,13.05,-0.17,-1.3027,1368.55,1760.663
872808.BJ,20210408,47.0,47.01,47.0,47.01,48.0,-0.99,-2.0625,2.0,9.401
000001.SZ,20210409,21.71,21.72,21.08,21.3,21.56,-0.26,-1.2059,398960.28,849870.878
000002.SZ,20210409,29.3,29.32,28.73,28.86,29.17,-0.31,-1.0627,528595.8,1527734.333
688488.SH,20210409,18.38,18.51,18.15,18.4,18.46,-0.06,-0.325,5319.03,9708.963
688536.SH,20210409,421.15,431.99,411.99,421.32,421.15,0.17,0.0404,2317.09,97610.152
688550.SH,20210409,84.61,85.83,84.35,85.7,85.01,0.69,0.8117,2794.59,23789.671
688551.SH,20210409,27.43,27.95,27.28,27.61,27.3,0.31,1.1355,3650.76,10068.95
688633.SH,20210409,56.72,57.78,54.19,56.75,56.72,0.03,0.0529,24589.63,138460.527
688636.SH,20210409,95.8,97.9,86.5,86.5,107.98,-21.48,-19.8926,53108.27,482304.369
689009.SH,20210409,73.77,75.39,69.0,69.21,73.3,-4.09,-5.5798,21974.1,159327.582
836419.BJ,20210409,13.6,13.6,13.6,13.6,15.8,-2.2,-13.9241,1.23,1.672
836433.BJ,20210409,7.13,7.35,7.11,7.24,7.12,0.12,1.6854,5340.98,3872.827
836675.BJ,20210409,12.76,12.97,12.75,12.86,12.88,-0.02,-0.1553,1470.57,1883.713
872808.BJ,20210409,48.81,48.81,47.03,48.81,47.01,1.8,3.829,6.0,28.752
873527.BJ,20210409,8.01,8.1,7.1,7.1,7.0,0.1,1.4286,24.0,18.96
000001.SZ,20210412,21.51,21.51,20.63,20.7,21.3,-0.6,-2.8169,594743.14,1240067.319
000002.SZ,20210412,29.01,29.09,28.5,28.59,28.86,-0.27,-0.9356,635227.77,1826857.6
688488.SH,20210412,18.2,18.49,18.05,18.11,18.4,-0.29,-1.5761,3484.57,6337.806
688536.SH,20210412,421.33,432.04,408.11,415.06,421.32,-6.26,-1.4858,4304.85,180466.879
688550.SH,20210412,85.95,86.05,81.58,81.81,85.7,-3.89,-4.5391,7012.29,58744.308
688551.SH,20210412,27.66,27.66,26.85,26.9,27.61,-0.71,-2.5715,4217.14,11450.327
688633.SH,20210412,56.24,57.5,53.5,53.6,56.75,-3.15,-5.5507,16983.45,94365.599
688636.SH,20210412,84.1,86.49,76.0,76.0,86.5,-10.5,-12.1387,35374.53,285024.084
689009.SH,20210412,69.68,70.3,65.6,65.67,69.21,-3.54,-5.1149,18847.56,125924.701
836419.BJ,20210412,13.86,13.86,13.66,13.66,13.6,0.06,0.4412,16.0,21.976
836433.BJ,20210412,7.24,7.25,7.15,7.25,7.24,0.01,0.1381,2496.18,1798.689
836675.BJ,20210412,12.86,13.0,12.56,12.83,12.86,-0.03,-0.2333,2693.87,3442.083
836717.BJ,20210412,6.01,6.01,6.01,6.01,3.1,2.91,93.871,1.0,0.601
872808.BJ,20210412,44.0,48.63,44.0,48.63,48.81,-0.18,-0.3688,7.0,31.263
873527.BJ,20210412,8.2,8.2,8.2,8.2,7.1,1.1,15.493,8.0,6.56
000001.SZ,20210413,20.72,20.88,20.59,20.78,20.7,0.08,0.3865,499904.18,1036992.692
000002.SZ,20210413,28.7,28.8,28.13,28.29,28.59,-0.3,-1.0493,669694.8,1899238.929
688488.SH,20210413,18.15,18.23,17.91,17.98,18.11,-0.13,-0.7178,3029.19,5471.842
688536.SH,20210413,408.29,421.2,401.01,404.93,415.06,-10.13,-2.4406,2385.85,97951.082
688550.SH,20210413,81.98,82.0,80.74,80.83,81.81,-0.98,-1.1979,2604.53,21148.724
688551.SH,20210413,27.38,27.38,26.25,26.29,26.9,-0.61,-2.2677,3005.34,7974.196
688633.SH,20210413,53.99,54.36,52.5,53.33,53.6,-0.27,-0.5037,10888.32,58033.937
688636.SH,20210413,75.21,79.44,73.09,75.14,76.0,-0.86,-1.1316,19768.39,148911.053
689009.SH,20210413,65.99,66.99,65.02,66.38,65.67,0.71,1.0812,8901.7,58681.311
836433.BJ,20210413,7.25,7.25,7.02,7.08,7.25,-0.17,-2.3448,1794.23,1277.569
836675.BJ,20210413,12.82,12.82,12.18,12.66,12.83,-0.17,-1.325,1982.2,2504.629
836717.BJ,20210413,6.0,6.0,6.0,6.0,6.01,-0.01,-0.1664,5.0,3.0
872808.BJ,20210413,44.8,47.98,44.8,47.98,48.63,-0.65,-1.3366,6.0,27.198
873122.BJ,20210413,10.0,10.0,10.0,10.0,,,,34.0,34.0
