ts_code,trade_date,open,high,low,close,pre_close,change,pct_chg,vol,amount
000001.SZ,20210104,19.1,19.1,18.44,18.6,19.34,-0.74,-3.8263,1554216.43,2891682.312
000002.SZ,20210104,28.4,28.4,27.52,27.78,28.7,-0.92,-3.2056,1468441.33,4079416.859
688488.SH,20210104,24.83,25.17,24.83,24.91,24.8,0.11,0.4435,7991.06,19945.755
688536.SH,20210104,438.0,438.0,380.23,401.02,432.0,-30.98,-7.1713,24334.06,958738.334
688550.SH,20210104,86.88,86.88,85.52,86.7,86.11,0.59,0.6852,4060.25,35085.157
688551.SH,20210104,34.76,35.45,34.57,35.23,34.79,0.44,1.2647,8613.23,30232.838
689009.SH,20210104,84.74,92.5,83.2,88.2,85.82,2.38,2.7732,66828.25,588895.451
836419.BJ,20210104,17.5,17.5,17.5,17.5,17.79,-0.29,-1.6301,2.0,3.5
836433.BJ,20210104,6.15,6.15,6.12,6.14,6.15,-0.01,-0.1626,921.8,564.967
836675.BJ,20210104,7.19,7.23,7.19,7.19,7.18,0.01,0.1393,12175.04,8772.899
872808.BJ,20210104,41.2,41.63,41.2,41.63,45.99,-4.36,-9.4803,46.64,193.341
000001.SZ,20210105,18.4,18.48,17.8,18.17,18.6,-0.43,-2.3118,1821352.1,3284606.913
000002.SZ,20210105,27.78,27.93,27.1,27.91,27.78,0.13,0.468,1162658.38,3189607.202
688488.SH,20210105,24.95,25.58,24.76,24.92,24.91,0.01,0.0401,9759.09,24469.953
688536.SH,20210105,395.0,420.0,391.86,419.0,401.02,17.98,4.4836,10405.13,421705.362
688550.SH,20210105,86.9,86.92,84.21,85.14,86.7,-1.56,-1.7993,5768.17,49132.419
688551.SH,20210105,35.1,35.35,34.6,34.8,35.23,-0.43,-1.2206,7641.06,26621.341
689009.SH,20210105,87.7,89.43,83.0,87.4,88.2,-0.8,-0.907,68230.91,584890.176
836433.BJ,20210105,6.13,6.13,6.06,6.11,6.14,-0.03,-0.4886,1684.19,1024.116
836675.BJ,20210105,7.2,7.21,7.18,7.19,7.19,0.0,0.0,3122.38,2244.973
872808.BJ,20210105,42.0,42.31,42.0,42.31,41.63,0.68,1.6334,89.08,375.931
873305.BJ,20210105,5.7,5.7,5.7,5.7,,,,100.0,57.0
000001.SZ,20210106,18.08,19.56,18.0,19.56,18.17,1.39,7.65,1934945.12,3648521.909
000002.SZ,20210106,27.8,28.75,27.73,28.75,27.91,0.84,3.0097,1048801.29,2972572.549
688488.SH,20210106,24.88,25.2,24.6,24.71,24.92,-0.21,-0.8427,7527.19,18732.724
688536.SH,20210106,421.0,429.9,411.0,416.07,419.0,-2.93,-0.6993,6297.63,264553.672
688550.SH,20210106,85.06,85.16,81.95,82.79,85.14,-2.35,-2.7602,6240.23,51686.361
688551.SH,20210106,34.6,34.8,32.99,33.23,34.8,-1.57,-4.5115,10328.35,34623.1
689009.SH,20210106,86.88,87.77,80.8,80.99,87.4,-6.41,-7.3341,57541.08,480165.333
836433.BJ,20210106,6.11,6.11,6.0,6.02,6.11,-0.09,-1.473,2302.93,1389.159
836675.BJ,20210106,7.18,7.2,7.15,7.2,7.19,0.01,0.1391,7315.02,5261.436
872808.BJ,20210106,41.52,41.55,41.52,41.55,42.31,-0.76,-1.7963,54.88,227.971
000001.SZ,20210107,19.52,19.98,19.23,19.9,19.56,0.34,1.7382,1584185.3,3111274.625
000002.SZ,20210107,29.0,29.5,28.39,28.79,28.75,0.04,0.1391,1226755.74,3544224.002
688488.SH,20210107,24.71,24.71,22.17,22.55,24.71,-2.16,-8.7414,21297.23,49442.937
688536.SH,20210107,410.7,417.47,395.15,404.38,416.07,-11.69,-2.8096,8548.79,346167.99
688550.SH,20210107,82.69,82.69,79.58,80.09,82.79,-2.7,-3.2613,5451.01,44117.016
688551.SH,20210107,33.1,33.2,31.09,31.31,33.23,-1.92,-5.7779,11168.84,35416.688
689009.SH,20210107,80.01,83.88,77.3,80.29,80.99,-0.7,-0.8643,51400.46,413151.03
836419.BJ,20210107,15.99,15.99,15.99,15.99,17.5,-1.51,-8.6286,199.83,319.528
836433.BJ,20210107,6.02,6.02,5.86,5.91,6.02,-0.11,-1.8272,2623.38,1549.881
836675.BJ,20210107,7.18,7.24,7.16,7.17,7.2,-0.03,-0.4167,5055.59,3640.113
872808.BJ,20210107,41.6,41.6,41.5,41.5,41.55,-0.05,-0.1203,29.0,120.55
000001.SZ,20210108,19.9,20.1,19.31,19.85,19.9,-0.05,-0.2513,1195473.22,2348316.363
000002.SZ,20210108,28.98,29.45,28.81,29.34,28.79,0.55,1.9104,1028563.29,3000845.603
688488.SH,20210108,22.33,22.99,22.3,22.69,22.55,0.14,0.6208,9211.68,20906.717
688536.SH,20210108,404.02,404.03,382.11,387.0,404.38,-17.38,-4.2979,8411.68,328990.654
688550.SH,20210108,80.09,83.99,78.18,83.36,80.09,3.27,4.0829,7294.29,59720.423
688551.SH,20210108,31.26,31.84,30.59,31.38,31.31,0.07,0.2236,4421.79,13838.76
689009.SH,20210108,79.99,83.33,77.33,77.7,80.29,-2.59,-3.2258,45259.89,363145.519
836419.BJ,20210108,15.99,15.99,15.99,15.99,15.99,0.0,0.0,3.0,4.797
836433.BJ,20210108,5.83,5.84,5.7,5.73,5.91,-0.18,-3.0457,2628.83,1516.024
836675.BJ,20210108,7.14,7.19,7.01,7.08,7.17,-0.09,-1.2552,4326.44,3069.308
836720.BJ,20210108,6.51,6.51,6.51,6.51,10.7,-4.19,-39.1589,1.0,0.651
872808.BJ,20210108,41.5,42.5,41.5,42.5,41.5,1.0,2.4096,50.8,213.538
873305.BJ,20210108,6.66,6.66,6.66,6.66,5.7,0.96,16.8421,31.01,20.652
000001.SZ,20210111,20.0,20.64,20.0,20.38,19.85,0.53,2.67,1790457.14,3652546.646
000002.SZ,20210111,29.5,30.35,29.27,29.78,29.34,0.44,1.4997,1388121.24,4142482.791
688488.SH,20210111,22.9,23.1,21.15,21.16,22.69,-1.53,-6.7431,16147.93,35186.604
688536.SH,20210111,381.97,417.96,381.97,397.0,387.0,10.0,2.584,9180.87,369651.243
688550.SH,20210111,82.5,83.0,81.0,81.55,83.36,-1.81,-2.1713,3810.39,31206.009
688551.SH,20210111,31.38,31.71,29.82,30.0,31.38,-1.38,-4.3977,7281.81,22152.555
689009.SH,20210111,77.0,79.44,74.62,78.25,77.7,0.55,0.7079,41556.64,320867.357
836419.BJ,20210111,15.5,15.5,15.5,15.5,15.99,-0.49,-3.0644,13.0,20.15
836433.BJ,20210111,5.71,5.88,5.28,5.29,5.73,-0.44,-7.6789,3588.47,1981.651
836675.BJ,20210111,7.05,7.07,6.8,6.8,7.08,-0.28,-3.9548,2975.33,2064.984
872808.BJ,20210111,41.8,42.69,41.8,42.69,42.5,0.19,0.4471,17.0,71.351
873305.BJ,20210111,6.66,6.66,6.66,6.66,6.66,0.0,0.0,18.99,12.647
000001.SZ,20210112,20.39,21.0,20.18,21.0,20.38,0.62,3.0422,1288165.5,2657687.44
000002.SZ,20210112,29.78,29.8,29.37,29.7,29.78,-0.08,-0.2686,980654.37,2899071.74
688488.SH,20210112,21.17,22.03,21.17,21.32,21.16,0.16,0.7561,9002.14,19313.157
688536.SH,20210112,398.0,428.6,395.0,416.28,397.0,19.28,4.8564,9439.25,394324.697
688550.SH,20210112,81.64,91.22,81.62,90.53,81.55,8.98,11.0116,12209.72,107238.924
688551.SH,20210112,30.49,30.49,29.78,29.9,30.0,-0.1,-0.3333,4763.89,14291.522
689009.SH,20210112,78.26,83.79,76.3,83.4,78.25,5.15,6.5815,50139.05,402748.318
836419.BJ,20210112,15.03,15.03,15.03,15.03,15.5,-0.47,-3.0323,3.0,4.509
836433.BJ,20210112,5.31,5.32,5.12,5.18,5.29,-0.11,-2.0794,4005.32,2078.339
836675.BJ,20210112,6.78,6.82,6.64,6.69,6.8,-0.11,-1.6176,4397.28,2952.058
872808.BJ,20210112,43.0,43.8,43.0,43.8,42.69,1.11,2.6001,30.05,130.379
873305.BJ,20210112,13.3,13.3,13.3,13.3,6.66,6.64,99.6997,21.0,27.93
000001.SZ,20210113,21.0,21.01,20.4,20.7,21.0,-0.3,-1.4286,1049119.73,2161849.708
000002.SZ,20210113,29.9,30.22,29.6,29.9,29.7,0.2,0.6734,940504.23,2807916.706
688488.SH,20210113,21.12,21.32,19.84,19.86,21.32,-1.46,-6.848,16962.02,34265.971
688536.SH,20210113,419.99,425.99,397.09,399.0,416.28,-17.28,-4.1511,7097.1,290730.547
688550.SH,20210113,90.55,90.87,87.22,89.26,90.53,-1.27,-1.4028,5473.17,48823.463
688551.SH,20210113,30.12,30.12,28.7,28.85,29.9,-1.05,-3.5117,6947.41,20209.71
689009.SH,20210113,83.19,86.88,82.12,83.73,83.4,0.33,0.3957,50834.02,431703.199
836419.BJ,20210113,15.38,15.5,14.89,14.89,15.03,-0.14,-0.9315,7.95,12.054
836433.BJ,20210113,5.28,5.28,5.09,5.15,5.18,-0.03,-0.5792,1492.33,767.232
836675.BJ,20210113,6.63,7.06,6.63,7.06,6.69,0.37,5.5306,3883.96,2685.967
872808.BJ,20210113,44.44,45.2,44.44,45.2,43.8,1.4,3.1963,123.9,553.102
873169.BJ,20210113,4.0,4.0,4.0,4.0,4.0,0.0,0.0,100.0,40.0
000001.SZ,20210114,20.68,20.89,19.95,20.17,20.7,-0.53,-2.5604,1130155.62,2306404.546
000002.SZ,20210114,29.93,30.79,29.8,29.99,29.9,0.09,0.301,1216323.23,3681938.197
688488.SH,20210114,20.36,20.95,19.6,20.17,19.86,0.31,1.5609,12059.4,24451.383
688536.SH,20210114,399.98,444.99,395.28,439.0,399.0,40.0,10.0251,10341.84,441391.644
688550.SH,20210114,88.93,89.98,86.69,88.12,89.26,-1.14,-1.2772,4358.57,38416.828
688551.SH,20210114,28.86,30.18,28.28,29.58,28.85,0.73,2.5303,8154.78,24036.471
689009.SH,20210114,83.0,91.87,81.2,86.0,83.73,2.27,2.7111,54016.07,465295.462
836419.BJ,20210114,14.89,14.89,14.89,14.89,14.89,0.0,0.0,2.0,2.978
836433.BJ,20210114,5.14,5.16,5.11,5.16,5.15,0.01,0.1942,1095.95,564.673
836675.BJ,20210114,6.9,7.08,6.83,7.07,7.06,0.01,0.1416,2419.66,1693.247
872808.BJ,20210114,45.8,48.5,45.8,48.0,45.2,2.8,6.1947,145.57,692.234
873169.BJ,20210114,4.0,4.0,4.0,4.0,4.0,0.0,0.0,1000.0,400.0
000001.SZ,20210115,21.0,21.95,20.82,21.0,20.17,0.83,4.115,2480688.98,5311218.074
000002.SZ,20210115,30.01,30.73,29.88,29.95,29.99,-0.04,-0.1334,1123372.38,3399072.612
688488.SH,20210115,20.29,21.35,20.2,21.05,20.17,0.88,4.3629,14172.55,29637.322
688536.SH,20210115,446.0,460.5,437.01,457.89,439.0,18.89,4.303,8010.41,360020.754
688550.SH,20210115,88.79,90.96,87.61,89.8,88.12,1.68,1.9065,3832.26,34375.599
688551.SH,20210115,29.58,31.15,29.32,30.65,29.58,1.07,3.6173,8541.11,26022.724
689009.SH,20210115,85.0,90.0,82.77,82.81,86.0,-3.19,-3.7093,56837.94,488533.926
836433.BJ,20210115,5.17,5.2,5.12,5.18,5.16,0.02,0.3876,1652.9,853.168
836675.BJ,20210115,7.02,7.08,6.98,7.02,7.07,-0.05,-0.7072,1197.13,842.724
836720.BJ,20210115,8.0,8.0,8.0,8.0,6.51,1.49,22.8879,1.0,0.8
872808.BJ,20210115,48.02,48.48,48.02,48.48,48.0,0.48,1.0,175.0,843.616
000001.SZ,20210118,21.2,22.78,21.2,22.7,21.0,1.7,8.0952,2157301.78,4792909.447
000002.SZ,20210118,30.2,31.26,29.83,31.26,29.95,1.31,4.374,1258281.68,3847315.298
688488.SH,20210118,21.46,21.46,20.86,20.96,21.05,-0.09,-0.4276,6300.99,13280.005
688536.SH,20210118,450.38,522.15,441.88,518.96,457.89,61.07,13.3373,11038.68,549392.376
688550.SH,20210118,88.88,90.26,87.1,90.21,89.8,0.41,0.4566,4944.88,43772.379
688551.SH,20210118,30.6,31.5,30.4,31.13,30.65,0.48,1.5661,6713.86,20783.804
689009.SH,20210118,79.0,85.79,78.75,80.82,82.81,-1.99,-2.4031,47728.23,391732.066
836419.BJ,20210118,14.89,14.89,14.89,14.89,14.89,0.0,0.0,2.98,4.437
836433.BJ,20210118,5.16,5.22,5.16,5.2,5.18,0.02,0.3861,933.69,485.647
836675.BJ,20210118,7.0,7.1,7.0,7.05,7.02,0.03,0.4274,2060.76,1458.078
872808.BJ,20210118,46.01,48.88,46.01,48.88,48.48,0.4,0.8251,24.0,116.164
000001.SZ,20210119,22.51,22.84,22.05,22.34,22.7,-0.36,-1.5859,1242088.34,2790056.611
000002.SZ,20210119,31.19,32.35,30.72,31.28,31.26,0.02,0.064,1631688.39,5130233.086
688488.SH,20210119,20.87,21.34,20.87,20.98,20.96,0.02,0.0954,9690.85,20444.383
688536.SH,20210119,516.9,548.97,516.9,520.0,518.96,1.04,0.2004,7953.16,421930.511
688550.SH,20210119,90.28,90.29,88.15,89.08,90.21,-1.13,-1.2526,2248.13,20056.498
688551.SH,20210119,31.41,32.13,31.06,31.18,31.13,0.05,0.1606,6683.11,21073.665
689009.SH,20210119,81.38,82.82,78.38,78.81,80.82,-2.01,-2.487,36046.55,290532.293
836433.BJ,20210119,5.21,5.25,5.2,5.22,5.2,0.02,0.3846,1913.8,1000.117
836675.BJ,20210119,7.02,7.11,7.02,7.1,7.05,0.05,0.7092,2441.8,1729.835
000001.SZ,20210120,22.15,22.97,22.12,22.47,22.34,0.13,0.5819,1280793.16,2889249.85
000002.SZ,20210120,31.07,31.2,30.35,30.5,31.28,-0.78,-2.4936,961434.54,2946920.755
688488.SH,20210120,20.7,21.0,20.3,20.6,20.98,-0.38,-1.8112,17864.45,36761.576
688536.SH,20210120,519.71,562.65,519.71,558.0,520.0,38.0,7.3077,7661.1,417477.484
688550.SH,20210120,88.6,89.21,88.04,88.26,89.08,-0.82,-0.9205,2257.33,19980.365
688551.SH,20210120,31.35,31.8,31.06,31.24,31.18,0.06,0.1924,4868.67,15296.274
689009.SH,20210120,78.84,85.55,78.84,85.02,78.81,6.21,7.8797,50873.14,419551.948
836419.BJ,20210120,14.89,14.89,14.89,14.89,14.89,0.0,0.0,7.6,11.316
