ts_code,trade_date,open,high,low,close,pre_close,change,pct_chg,vol,amount
000001.SZ,20210701,22.81,23.5,22.52,23.2,22.62,0.58,2.5641,664833.3,1530548.798
000002.SZ,20210701,23.89,25.35,23.85,24.98,23.81,1.17,4.9139,1315383.53,3255497.222
688408.SH,20210701,201.0,207.0,186.0,189.0,200.8,-11.8,-5.8765,6028.66,117751.547
688418.SH,20210701,19.96,19.96,18.73,18.73,19.79,-1.06,-5.3562,10651.47,20490.058
688425.SH,20210701,6.18,6.2,6.0,6.01,6.12,-0.11,-1.7974,748012.81,454841.25
688456.SH,20210701,27.52,27.82,27.39,27.42,27.6,-0.18,-0.6522,9330.67,25737.12
688466.SH,20210701,22.97,22.98,22.05,22.05,22.97,-0.92,-4.0052,7957.58,17820.448
688468.SH,20210701,22.28,22.99,22.04,22.39,22.31,0.08,0.3586,23351.25,52801.108
688488.SH,20210701,23.5,27.21,23.31,26.59,23.46,3.13,13.3419,74882.45,193190.231
688536.SH,20210701,545.24,575.0,542.0,546.13,551.0,-4.87,-0.8838,3945.12,220879.928
688538.SH,20210701,3.81,3.83,3.75,3.75,3.81,-0.06,-1.5748,724525.8,274053.957
688550.SH,20210701,91.69,94.1,90.41,91.65,91.17,0.48,0.5265,6786.15,62669.777
688551.SH,20210701,50.8,50.8,46.52,47.46,50.08,-2.62,-5.2316,18383.07,89054.189
688633.SH,20210701,56.03,60.17,56.03,57.36,55.87,1.49,2.6669,24854.13,144572.533
688636.SH,20210701,106.3,107.85,101.99,102.5,106.3,-3.8,-3.5748,6052.35,62890.87
688639.SH,20210701,49.42,51.5,49.04,49.5,47.99,1.51,3.1465,12240.82,61156.556
688655.SH,20210701,20.9,20.9,19.73,19.75,20.4,-0.65,-3.1863,48160.15,97639.399
689009.SH,20210701,85.8,86.3,82.28,82.75,85.12,-2.37,-2.7843,17212.92,143412.247
836433.BJ,20210701,9.06,9.36,9.0,9.26,9.02,0.24,2.6608,6189.93,5722.599
836675.BJ,20210701,14.04,14.04,13.81,13.87,13.85,0.02,0.1444,718.82,999.383
870866.BJ,20210701,4.53,4.8,4.53,4.8,4.5,0.3,6.6667,51.0,24.453
871396.BJ,20210701,9.54,9.75,9.53,9.72,9.73,-0.01,-0.1028,276.2,267.58
872808.BJ,20210701,47.76,47.76,46.58,46.58,47.0,-0.42,-0.8936,30.43,141.86
873576.BJ,20210701,10.0,10.0,10.0,10.0,10.0,0.0,0.0,32.52,32.52
000001.SZ,20210702,22.72,22.74,21.76,21.81,23.2,-1.39,-5.9914,1070677.56,2360189.793
000002.SZ,20210702,24.78,24.78,24.04,24.05,24.98,-0.93,-3.723,887290.38,2155246.012
