ts_code,trade_date,open,high,low,close,pre_close,change,pct_chg,vol,amount
000001.SZ,20201201,19.7,20.51,19.4,20.05,19.74,0.31,1.5704,1263719.75,2516010.782
000002.SZ,20201201,30.81,30.96,30.14,30.75,30.7,0.05,0.1629,849853.42,2594740.798
688488.SH,20201201,31.0,31.3,29.89,29.92,30.72,-0.8,-2.6042,17195.01,52191.319
688536.SH,20201201,389.0,415.99,389.0,413.6,389.0,24.6,6.3239,7412.8,300585.778
688550.SH,20201201,100.63,101.49,100.02,101.26,100.63,0.63,0.6261,2581.56,26035.385
688551.SH,20201201,41.19,41.45,40.88,41.24,41.25,-0.01,-0.0242,10194.47,41996.467
689009.SH,20201201,69.94,73.35,69.0,72.8,71.35,1.45,2.0322,84704.66,607088.603
836419.BJ,20201201,15.0,15.11,15.0,15.11,16.9,-1.79,-10.5917,13.0,19.536
836433.BJ,20201201,6.45,6.68,6.43,6.67,6.43,0.24,3.7325,6809.21,4475.877
872808.BJ,20201201,41.98,42.0,40.03,40.03,42.42,-2.39,-5.6341,83.0,333.167
873527.BJ,20201201,10.98,10.98,10.98,10.98,10.0,0.98,9.8,1.0,1.098
000001.SZ,20201202,19.93,20.06,19.52,19.63,20.05,-0.42,-2.0948,889385.29,1758639.187
000002.SZ,20201202,30.89,31.96,30.71,31.13,30.75,0.38,1.2358,954561.66,2996575.854
688488.SH,20201202,30.0,30.0,28.37,28.53,29.92,-1.39,-4.6457,26331.33,76057.993
688536.SH,20201202,412.83,416.0,401.07,402.9,413.6,-10.7,-2.587,5049.4,205302.662
688550.SH,20201202,101.26,105.0,101.0,103.81,101.26,2.55,2.5183,7589.91,78543.437
688551.SH,20201202,41.31,41.35,40.41,40.9,41.24,-0.34,-0.8244,11668.41,47733.843
689009.SH,20201202,72.18,73.74,67.58,69.0,72.8,-3.8,-5.2198,91882.18,641935.191
836419.BJ,20201202,13.5,13.5,13.5,13.5,15.11,-1.61,-10.6552,10.0,13.5
836433.BJ,20201202,6.65,6.7,6.58,6.59,6.67,-0.08,-1.1994,3246.85,2146.444
872808.BJ,20201202,41.38,41.38,41.38,41.38,40.03,1.35,3.3725,1.14,4.717
000001.SZ,20201203,19.78,19.86,19.17,19.54,19.63,-0.09,-0.4585,714452.3,1393085.02
000002.SZ,20201203,31.37,31.43,30.55,30.9,31.13,-0.23,-0.7388,533327.53,1649928.177
688488.SH,20201203,28.39,29.5,28.16,28.69,28.53,0.16,0.5608,17093.62,49173.931
688536.SH,20201203,400.0,408.95,373.57,377.97,402.9,-24.93,-6.1876,10123.51,389646.569
688550.SH,20201203,104.78,105.75,103.1,103.57,103.81,-0.24,-0.2312,5926.86,61806.549
688551.SH,20201203,40.93,41.13,40.6,40.7,40.9,-0.2,-0.489,7811.59,31860.704
689009.SH,20201203,67.7,67.7,63.75,64.1,69.0,-4.9,-7.1014,102512.24,667586.966
836433.BJ,20201203,6.55,6.62,6.45,6.48,6.59,-0.11,-1.6692,1317.18,861.289
872808.BJ,20201203,40.5,40.78,38.02,38.08,41.38,-3.3,-7.9749,51.9,200.451
000001.SZ,20201204,19.47,19.47,18.97,19.3,19.54,-0.24,-1.2282,891347.84,1707639.065
000002.SZ,20201204,31.12,31.14,29.94,30.0,30.9,-0.9,-2.9126,812748.05,2463450.644
688488.SH,20201204,28.5,29.06,28.5,28.72,28.69,0.03,0.1046,6802.08,19579.683
688536.SH,20201204,377.49,384.43,372.51,376.24,377.97,-1.73,-0.4577,5706.47,216137.988
688550.SH,20201204,103.35,103.98,101.33,101.59,103.57,-1.98,-1.9118,4091.08,41726.919
688551.SH,20201204,40.68,40.77,40.03,40.15,40.7,-0.55,-1.3514,9148.71,36880.624
689009.SH,20201204,64.5,68.63,64.36,67.06,64.1,2.96,4.6178,97180.32,650623.911
836433.BJ,20201204,6.48,6.55,6.43,6.53,6.48,0.05,0.7716,2911.5,1892.33
872808.BJ,20201204,39.0,39.99,38.99,39.99,38.08,1.91,5.0158,8.0,31.793
000001.SZ,20201207,19.31,19.39,18.68,18.91,19.3,-0.39,-2.0207,873806.61,1655173.465
000002.SZ,20201207,30.05,30.18,29.36,29.41,30.0,-0.59,-1.9667,630086.52,1864723.134
688488.SH,20201207,28.98,29.35,28.7,28.88,28.72,0.16,0.5571,6511.24,18836.409
688536.SH,20201207,380.08,392.99,375.0,388.7,376.24,12.46,3.3117,8192.82,313460.395
688550.SH,20201207,101.6,102.0,101.01,101.8,101.59,0.21,0.2067,3096.08,31413.053
688551.SH,20201207,40.52,40.94,39.89,40.25,40.15,0.1,0.2491,8006.81,32329.91
689009.SH,20201207,68.0,72.2,63.89,71.3,67.06,4.24,6.3227,103178.7,702914.507
836433.BJ,20201207,6.5,6.59,6.5,6.53,6.53,0.0,0.0,1331.04,872.935
872808.BJ,20201207,39.9,40.68,39.88,40.32,39.99,0.33,0.8252,34.99,141.117
872925.BJ,20201207,31.68,31.68,31.68,31.68,29.0,2.68,9.2414,13.33,42.229
000001.SZ,20201208,18.92,19.03,18.53,18.71,18.91,-0.2,-1.0576,719647.51,1345951.734
000002.SZ,20201208,29.45,29.59,29.12,29.18,29.41,-0.23,-0.782,513261.46,1504880.962
688488.SH,20201208,28.84,29.07,28.45,28.53,28.88,-0.35,-1.2119,6837.73,19602.034
688536.SH,20201208,385.67,412.43,378.0,410.99,388.7,22.29,5.7345,7756.64,310858.733
688550.SH,20201208,101.43,102.5,100.12,100.3,101.8,-1.5,-1.4735,3687.72,37285.072
688551.SH,20201208,40.68,41.96,40.28,41.6,40.25,1.35,3.354,16718.59,68963.837
689009.SH,20201208,70.4,74.85,69.34,70.5,71.3,-0.8,-1.122,75616.58,545328.505
836433.BJ,20201208,6.51,6.56,6.42,6.46,6.53,-0.07,-1.072,1164.5,752.887
872808.BJ,20201208,40.88,42.55,40.88,42.55,40.32,2.23,5.5308,93.9,388.568
