ts_code,trade_date,open,high,low,close,pre_close,change,pct_chg,vol,amount
000001.SZ,20200701,12.79,13.15,12.74,13.12,12.8,0.32,2.5,1697390.01,2202800.843
000002.SZ,20200701,26.18,28.5,26.17,28.09,26.14,1.95,7.4598,2602748.54,7124087.372
872808.BJ,20200701,36.5,38.5,36.5,38.02,35.55,2.47,6.948,117.0,440.586
872925.BJ,20200701,15.1,15.1,15.1,15.1,14.61,0.49,3.3539,20.0,30.2
000001.SZ,20200702,13.08,13.49,12.97,13.43,13.12,0.31,2.3628,2590501.19,3433511.084
000002.SZ,20200702,28.0,28.89,27.77,28.39,28.09,0.3,1.068,2134743.87,6033529.847
872808.BJ,20200702,39.5,43.0,39.1,39.51,38.02,1.49,3.919,101.0,413.434
000001.SZ,20200703,13.57,14.32,13.56,14.25,13.43,0.82,6.1057,3768333.63,5280918.011
000002.SZ,20200703,28.65,29.12,28.14,28.65,28.39,0.26,0.9158,1744355.6,4993062.505
872808.BJ,20200703,40.0,44.0,40.0,44.0,39.51,4.49,11.3642,66.0,280.97
872925.BJ,20200703,10.7,10.7,10.7,10.7,15.1,-4.4,-29.1391,1.0,1.07
000001.SZ,20200706,14.6,15.68,14.59,15.68,14.25,1.43,10.0351,4711460.78,7168653.356
000002.SZ,20200706,29.3,31.15,29.3,31.02,28.65,2.37,8.2723,2301285.06,6955279.099
872808.BJ,20200706,45.0,46.01,45.0,46.01,44.0,2.01,4.5682,96.0,438.105
873152.BJ,20200706,3.2,3.2,3.2,3.2,2.91,0.29,9.9656,137.0,43.84
000001.SZ,20200707,16.3,16.63,15.03,15.48,15.68,-0.2,-1.2755,3964427.47,6267919.683
000002.SZ,20200707,31.5,32.02,30.0,30.3,31.02,-0.72,-2.3211,1713195.8,5262391.225
872808.BJ,20200707,46.34,47.0,46.34,47.0,46.01,0.99,2.1517,43.0,201.836
872925.BJ,20200707,21.0,21.0,21.0,21.0,10.7,10.3,96.2617,9.0,18.9
873152.BJ,20200707,3.2,3.2,3.2,3.2,3.2,0.0,0.0,20.0,6.4
000001.SZ,20200708,15.23,16.0,15.23,15.76,15.48,0.28,1.8088,2631339.16,4095447.757
000002.SZ,20200708,30.3,30.9,29.65,30.4,30.3,0.1,0.33,1601287.8,4827351.74
872808.BJ,20200708,47.88,49.11,47.88,49.11,47.0,2.11,4.4894,72.0,350.395
872925.BJ,20200708,30.0,30.0,28.0,28.0,21.0,7.0,33.3333,16.23,46.244
000001.SZ,20200709,15.66,15.66,15.31,15.53,15.76,-0.23,-1.4594,2243994.4,3469517.329
000002.SZ,20200709,30.45,30.63,29.88,30.63,30.4,0.23,0.7566,1342454.08,4058954.546
872808.BJ,20200709,49.98,53.5,49.98,53.5,48.6,4.9,10.0823,255.46,1317.265
872925.BJ,20200709,28.8,30.88,28.8,30.88,28.0,2.88,10.2857,23.0,68.947
873152.BJ,20200709,3.25,3.25,3.25,3.25,3.2,0.05,1.5625,33.0,10.725
000001.SZ,20200710,15.35,15.48,14.76,14.86,15.53,-0.67,-4.3142,2158773.26,3254272.377
000002.SZ,20200710,30.02,30.07,28.99,29.17,30.63,-1.46,-4.7666,2098406.41,6190314.614
