ts_code,trade_date,open,high,low,close,pre_close,change,pct_chg,vol,amount
000001.SZ,20200901,14.96,15.23,14.88,15.14,15.08,0.06,0.3979,813642.58,1228342.741
000002.SZ,20200901,27.18,27.23,26.93,27.22,27.27,-0.05,-0.1834,524296.25,1420467.874
688488.SH,20200901,32.71,33.06,32.18,32.36,33.01,-0.65,-1.9691,16545.67,53794.543
872808.BJ,20200901,57.4,57.4,55.58,55.63,58.0,-2.37,-4.0862,14.0,79.096
000001.SZ,20200902,15.01,15.53,15.01,15.32,15.14,0.18,1.1889,1679382.97,2575966.637
000002.SZ,20200902,27.4,27.71,27.13,27.52,27.22,0.3,1.1021,730022.97,2002238.835
688488.SH,20200902,32.36,32.36,30.95,31.0,32.36,-1.36,-4.2027,33906.37,106337.533
872808.BJ,20200902,61.0,61.0,61.0,61.0,55.63,5.37,9.6531,12.0,73.2
000001.SZ,20200903,15.32,15.33,14.84,14.9,15.32,-0.42,-2.7415,1279841.59,1919266.726
000002.SZ,20200903,27.6,28.2,27.42,27.81,27.52,0.29,1.0538,799220.55,2224433.222
688488.SH,20200903,31.18,31.69,30.41,31.29,31.0,0.29,0.9355,24967.72,77703.168
836419.BJ,20200903,24.0,24.0,24.0,24.0,28.8,-4.8,-16.6667,1.0,2.4
836422.BJ,20200903,4.1,4.1,4.1,4.1,3.21,0.89,27.7259,1.0,0.41
836433.BJ,20200903,6.89,6.96,6.88,6.9,6.94,-0.04,-0.5764,2409.19,1664.019
872925.BJ,20200903,21.88,21.9,21.88,21.9,21.88,0.02,0.0914,10.89,23.828
000001.SZ,20200904,14.73,15.06,14.6,14.96,14.9,0.06,0.4027,909889.99,1353550.808
000002.SZ,20200904,27.56,28.15,27.46,28.07,27.81,0.26,0.9349,816185.97,2279067.498
688488.SH,20200904,30.88,31.28,30.65,31.19,31.29,-0.1,-0.3196,12512.95,38821.974
836419.BJ,20200904,22.0,22.0,22.0,22.0,24.0,-2.0,-8.3333,1.0,2.2
836433.BJ,20200904,6.86,6.89,6.84,6.87,6.9,-0.03,-0.4348,1926.03,1320.717
872808.BJ,20200904,54.53,55.59,53.52,53.65,61.0,-7.35,-12.0492,128.18,694.078
000001.SZ,20200907,14.88,15.24,14.83,14.94,14.96,-0.02,-0.1337,1031376.81,1551971.38
000002.SZ,20200907,27.95,29.05,27.95,28.43,28.07,0.36,1.2825,1432294.21,4103510.527
688488.SH,20200907,31.14,31.87,30.81,30.9,31.19,-0.29,-0.9298,21213.78,66333.245
836433.BJ,20200907,6.87,6.87,6.78,6.8,6.87,-0.07,-1.0189,2529.28,1725.866
836720.BJ,20200907,10.7,10.7,10.7,10.7,10.99,-0.29,-2.6388,1.0,1.07
872808.BJ,20200907,55.0,55.0,55.0,55.0,53.65,1.35,2.5163,10.0,55.0
000001.SZ,20200908,15.0,15.43,15.0,15.43,14.94,0.49,3.2798,1407601.66,2154220.778
000002.SZ,20200908,28.6,29.17,28.16,28.3,28.43,-0.13,-0.4573,964997.32,2760457.179
688488.SH,20200908,30.81,31.28,30.03,30.16,30.9,-0.74,-2.3948,18980.5,57770.75
836433.BJ,20200908,6.86,6.86,6.78,6.79,6.8,-0.01,-0.1471,1761.56,1197.351
872808.BJ,20200908,56.48,56.48,53.83,53.83,55.0,-1.17,-2.1273,10.42,57.553
000001.SZ,20200909,15.26,15.56,15.13,15.21,15.43,-0.22,-1.4258,1013572.47,1554005.575
000002.SZ,20200909,28.1,28.4,27.65,27.98,28.3,-0.32,-1.1307,645614.25,1807367.85
688488.SH,20200909,29.93,29.93,27.75,27.82,30.16,-2.34,-7.7586,37631.32,107908.005
836422.BJ,20200909,4.0,4.0,4.0,4.0,4.1,-0.1,-2.439,1.0,0.4
836433.BJ,20200909,6.77,6.8,6.66,6.66,6.79,-0.13,-1.9146,3386.89,2274.067
